Nearest Neighbors, 16, False, hsv, 3, 0.8542450081381892
Linear SVM, 16, False, hsv, 3, 0.8484966237331798
Decision Tree, 16, False, hsv, 3, 0.7827826253607503
Random Forest, 16, False, hsv, 3, 0.8518324228666062
Neural Net, 16, False, hsv, 3, 0.8515852986854883
AdaBoost, 16, False, hsv, 3, 0.8382746571570482
Nearest Neighbors, 32, False, hsv, 3, 0.8467396666570409
Linear SVM, 32, False, hsv, 3, 0.826631809440194
Decision Tree, 32, False, hsv, 3, 0.8114175598736295
Random Forest, 32, False, hsv, 3, 0.8523484845902537
Neural Net, 32, False, hsv, 3, 0.8501876265565576
AdaBoost, 32, False, hsv, 3, 0.8340914990334974
Nearest Neighbors, 8, False, rgb, 5, 0.6091608078544739
Linear SVM, 8, False, rgb, 5, 0.6969992741625267
Decision Tree, 8, False, rgb, 5, 0.5571241569558497
Random Forest, 8, False, rgb, 5, 0.6279883976017572
Neural Net, 8, False, rgb, 5, 0.667147554413284
AdaBoost, 8, False, rgb, 5, 0.5608262230275679
Nearest Neighbors, 16, False, rgb, 5, 0.6026159370645093
Linear SVM, 16, False, rgb, 5, 0.7120176784058457
Decision Tree, 16, False, rgb, 5, 0.5083347448860963
Random Forest, 16, False, rgb, 5, 0.609292606902901
Neural Net, 16, False, rgb, 5, 0.6384549678276519
AdaBoost, 16, False, rgb, 5, 0.5530047069240319
Nearest Neighbors, 32, False, rgb, 5, 0.5957322748003598
Linear SVM, 32, False, rgb, 5, 0.650530874079495
Decision Tree, 32, False, rgb, 5, 0.5113073365259383
Random Forest, 32, False, rgb, 5, 0.61740803461415
Neural Net, 32, False, rgb, 5, 0.6566661518037132
AdaBoost, 32, False, rgb, 5, 0.5511756876663708
Nearest Neighbors, 8, False, rgb, 3, 0.7833250051970978
Linear SVM, 8, False, rgb, 3, 0.8347050295528048
Decision Tree, 8, False, rgb, 3, 0.7314509282293874
Random Forest, 8, False, rgb, 3, 0.8045346203768132
