Classifier, Bins, Mask, Colorspace, Classes, F1 SCORE
Nearest Neighbors, 8, False, rgb, 5, 0.6144137569194954
Linear SVM, 8, False, rgb, 5, 0.6631050433661068
Decision Tree, 8, False, rgb, 5, 0.5551402823211902
Random Forest, 8, False, rgb, 5, 0.6497021600094146
Neural Net, 8, False, rgb, 5, 0.6120736281819685
AdaBoost, 8, False, rgb, 5, 0.5465727410075013
Nearest Neighbors, 16, False, rgb, 5, 0.6171017286132677
Linear SVM, 16, False, rgb, 5, 0.6678922199056454
Decision Tree, 16, False, rgb, 5, 0.5379931699312681
Random Forest, 16, False, rgb, 5, 0.6383141990258258
Neural Net, 16, False, rgb, 5, 0.6217957650974916
AdaBoost, 16, False, rgb, 5, 0.5719329331746892
Nearest Neighbors, 32, False, rgb, 5, 0.6281944148460861
Linear SVM, 32, False, rgb, 5, 0.672606707024791
Decision Tree, 32, False, rgb, 5, 0.5255458129040524
Random Forest, 32, False, rgb, 5, 0.6342324304207764
Neural Net, 32, False, rgb, 5, 0.6287030797549746
AdaBoost, 32, False, rgb, 5, 0.5811896454276745
Nearest Neighbors, 8, False, rgb, 3, 0.7955651175426266
Linear SVM, 8, False, rgb, 3, 0.8574907778870692
Decision Tree, 8, False, rgb, 3, 0.7474622282513764
Random Forest, 8, False, rgb, 3, 0.8347758341713852
Neural Net, 8, False, rgb, 3, 0.8222770243608098
AdaBoost, 8, False, rgb, 3, 0.7877034120262622
Nearest Neighbors, 16, False, rgb, 3, 0.8133180894835009
Linear SVM, 16, False, rgb, 3, 0.8583221687383198
Decision Tree, 16, False, rgb, 3, 0.7501931521632242
Random Forest, 16, False, rgb, 3, 0.812162355804516
Neural Net, 16, False, rgb, 3, 0.8556549772525991
AdaBoost, 16, False, rgb, 3, 0.7845322838712809
Nearest Neighbors, 32, False, rgb, 3, 0.8104133002798687
Linear SVM, 32, False, rgb, 3, 0.8620108931528431
Decision Tree, 32, False, rgb, 3, 0.7258466949132814
Random Forest, 32, False, rgb, 3, 0.8201066830632734
Neural Net, 32, False, rgb, 3, 0.8403647994853994
AdaBoost, 32, False, rgb, 3, 0.7901860893921372
Nearest Neighbors, 8, True, hsv, 5, 0.6353260609677487
