Classifier, Bins, Mask, Colorspace, Classes, F1 1, F1 2, F1 3, F1 4, F1 5
Nearest Neighbors, 8, True, hsv, 5, 0.8343558282208589, 0.44067796610169496, 0.34615384615384615, 0.4186046511627907, 0.43478260869565216, 
Linear SVM, 8, True, hsv, 5, 0.8795180722891566, 0.509090909090909, 0.509090909090909, 0.4186046511627907, 0.4761904761904762, 
Decision Tree, 8, True, hsv, 5, 0.8205128205128205, 0.40625, 0.4489795918367347, 0.608695652173913, 0.4, 
Random Forest, 8, True, hsv, 5, 0.8795180722891566, 0.3773584905660377, 0.47058823529411764, 0.5714285714285714, 0.38095238095238093, 
Neural Net, 8, True, hsv, 5, 0.8198757763975155, 0.4838709677419355, 0.3, 0.47826086956521735, 0.3870967741935484, 
AdaBoost, 8, True, hsv, 5, 0.875, 0.43636363636363634, 0.49056603773584906, 0.48, 0.45454545454545453, 
Nearest Neighbors, 16, True, hsv, 5, 0.8170731707317073, 0.339622641509434, 0.44067796610169496, 0.37209302325581395, 0.2857142857142857, 
Linear SVM, 16, True, hsv, 5, 0.8284023668639053, 0.43137254901960786, 0.5660377358490567, 0.5777777777777778, 0.6363636363636364, 
Decision Tree, 16, True, hsv, 5, 0.8280254777070064, 0.3636363636363636, 0.4285714285714286, 0.3255813953488372, 0.4137931034482759, 
Random Forest, 16, True, hsv, 5, 0.8484848484848485, 0.3018867924528302, 0.4313725490196078, 0.5416666666666667, 0.43478260869565216, 
Neural Net, 16, True, hsv, 5, 0.7972972972972973, 0.4411764705882353, 0.4615384615384615, 0.5199999999999999, 0.45454545454545453, 
AdaBoost, 16, True, hsv, 5, 0.8242424242424243, 0.2545454545454545, 0.5172413793103449, 0.4878048780487805, 0.4761904761904762, 
Nearest Neighbors, 32, True, hsv, 5, 0.860759493670886, 0.3793103448275862, 0.41935483870967744, 0.4285714285714286, 0.3, 
Linear SVM, 32, True, hsv, 5, 0.8427672955974843, 0.37500000000000006, 0.36000000000000004, 0.4444444444444445, 0.5454545454545454, 
Decision Tree, 32, True, hsv, 5, 0.7870967741935484, 0.4545454545454545, 0.3636363636363637, 0.3076923076923077, 0.4799999999999999, 
Random Forest, 32, True, hsv, 5, 0.8466257668711656, 0.42105263157894735, 0.4150943396226415, 0.4347826086956522, 0.4761904761904762, 
Neural Net, 32, True, hsv, 5, 0.8181818181818182, 0.5294117647058824, 0.47058823529411764, 0.5116279069767442, 0.3333333333333333, 
AdaBoost, 32, True, hsv, 5, 0.7515923566878981, 0.28125, 0.5185185185185185, 0.4347826086956522, 0.3157894736842105, 
Nearest Neighbors, 8, True, hsv, 3, 0.8858447488584474, 0.34615384615384615, 0.6376811594202899, 
Linear SVM, 8, True, hsv, 3, 0.9223744292237444, 0.4999999999999999, 0.6376811594202899, 
Decision Tree, 8, True, hsv, 3, 0.8995215311004785, 0.3703703703703704, 0.49350649350649345, 
Random Forest, 8, True, hsv, 3, 0.9099099099099099, 0.4444444444444445, 0.7123287671232877, 
Neural Net, 8, True, hsv, 3, 0.8909952606635071, 0.48148148148148145, 0.5866666666666668, 
AdaBoost, 8, True, hsv, 3, 0.9017857142857143, 0.4827586206896552, 0.5862068965517241, 
Nearest Neighbors, 16, True, hsv, 3, 0.897196261682243, 0.4482758620689655, 0.5882352941176471, 
Linear SVM, 16, True, hsv, 3, 0.890909090909091, 0.39215686274509803, 0.6376811594202899, 
Decision Tree, 16, True, hsv, 3, 0.861244019138756, 0.38095238095238093, 0.5294117647058824, 
Random Forest, 16, True, hsv, 3, 0.9189189189189189, 0.45833333333333337, 0.6285714285714287, 
Neural Net, 16, True, hsv, 3, 0.8878504672897196, 0.5, 0.5862068965517241, 
AdaBoost, 16, True, hsv, 3, 0.8708133971291867, 0.5, 0.5866666666666668, 
Nearest Neighbors, 32, True, hsv, 3, 0.8878504672897196, 0.41379310344827586, 0.5882352941176471, 
Linear SVM, 32, True, hsv, 3, 0.8558558558558558, 0.34615384615384615, 0.48484848484848486, 
Decision Tree, 32, True, hsv, 3, 0.8430493273542601, 0.4727272727272727, 0.3870967741935484, 
Random Forest, 32, True, hsv, 3, 0.9107142857142857, 0.46808510638297873, 0.6376811594202899, 
Neural Net, 32, True, hsv, 3, 0.9252336448598131, 0.4, 0.7209302325581395, 
AdaBoost, 32, True, hsv, 3, 0.890909090909091, 0.44067796610169496, 0.5245901639344261, 
Nearest Neighbors, 8, True, rgb, 5, 0.7865168539325842, 0.3859649122807018, 0.37735849056603776, 0.2285714285714286, 0.0, 
Linear SVM, 8, True, rgb, 5, 0.8641975308641974, 0.4262295081967213, 0.48148148148148145, 0.4186046511627907, 0.4, 
